"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA
"7",0.808333333333333,0.404040404040404,0.73187414500684,0.50828729281768,0.861386138613861,0.50828729281768,0.89280868385346,0.50828729281768
"8",0.603107344632768,0.383116883116883,0.63121546961326,0.450413223140496,0.955082742316785,0.450413223140496,0.832041343669251,0.450413223140496
"9",0.496805111821086,0.368159203980099,0.414483821263482,0.382671480144404,0.958955223880597,0.382671480144404,0.861517976031957,0.382671480144404
"10",0.360082304526749,0.277227722772277,0.34280303030303,0.392857142857143,0.41640866873065,0.392857142857143,0.693140794223827,0.392857142857143
"11",0.450738916256158,0.776978417266187,0.451073985680191,0.385204081632653,0.785394932935917,0.385204081632653,0.91578947368421,0.385204081632653
"12",0.395577395577396,0.310096153846154,0.404157043879908,0.351578947368421,0.917189460476788,0.351578947368421,0.842931937172775,0.351578947368421
"13",0.355371900826446,0.188405797101449,0.335106382978723,0.173626373626374,0.820680628272251,0.173626373626374,0.870923913043478,0.173626373626374
"14",0.210526315789474,0.144254278728606,0.217514124293785,0.176991150442478,0.851150202976996,0.176991150442478,0.607344632768362,0.176991150442478
"15",0.218649517684887,0.124069478908189,0.230769230769231,0.140877598152425,0.777142857142857,0.140877598152425,0.695906432748538,0.140877598152425
"16",0.0784982935153584,0.0568475452196382,0.120521172638436,0.149425287356322,0.74024024024024,0.149425287356322,0.313291139240506,0.149425287356322
"17",0.274809160305344,0.193633952254642,0.328621908127208,0.210144927536232,0.788025889967638,0.210144927536232,0.624584717607973,0.210144927536232
"18",0.377682403433476,0.251445086705202,0.397769516728625,0.276243093922652,0.666666666666667,0.276243093922652,0.506216696269982,0.276243093922652
"19",0.221311475409836,0.518394648829431,0.339100346020761,0.492260061919505,0.57429718875502,0.492260061919505,0.734104046242775,0.492260061919505
"20",0.416309012875536,0.510121457489879,0.378787878787879,0.574007220216607,0.853006681514477,0.574007220216607,0.524444444444444,0.574007220216607
"21",0.316742081447964,0.507109004739337,0.340425531914894,0.412,0.964114832535885,0.412,0.824427480916031,0.412
